Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-01 15:38:30.145 +0530,"Failure",0:00:00,1,0,1,"20231201_153830.145/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
2023-12-01 15:40:00.908 +0530,"Failure",0:00:00,1,0,1,"20231201_154000.908/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
2023-12-01 15:42:23.348 +0530,"Failure",0:00:00,1,0,1,"20231201_154223.348/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
