Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
test2,Failure,3,3,2023-12-05 18:21:24 +0530,2023-12-05 18:26:00 +0530,0:00:00
test4,Failure,27,22,2023-12-06 15:42:18 +0530,2023-12-07 14:52:12 +0530,0:00:22
test1,Success,11,4,2023-12-05 17:19:44 +0530,2023-12-05 17:45:12 +0530,0:00:08
test3,Failure,16,16,2023-12-06 15:00:41 +0530,2023-12-06 15:35:28 +0530,0:00:00
